[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 12_24 (12_24.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_25 (12_25.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_26 (12_26.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_27 (12_27.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_28 (12_28.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_29 (12_29.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_3 (12_3.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 12_30 (12_30.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_31 (12_31.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_32 (12_32.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_33 (12_33.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_34 (12_34.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_35 (12_35.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_36 (12_36.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_37 (12_37.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_38 (12_38.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_39 (12_39.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_4 (12_4.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_40 (12_40.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_41 (12_41.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_42 (12_42.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_43 (12_43.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_44 (12_44.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_45 (12_45.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_46 (12_46.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_47 (12_47.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_48 (12_48.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_49 (12_49.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_5 (12_5.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_50 (12_50.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_51 (12_51.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_52 (12_52.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_53 (12_53.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_54 (12_54.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_6 (12_6.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_7 (12_7.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_8 (12_8.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
